WURCS=2.0/4,5,4/[u2112h_2*NCC/3=O][a2112h-1b_1-5][a2122h-1b_1-5_2*NCC/3=O][a2122h-1a_1-5_2*NCC/3=O]/1-2-3-2-4/a3-b1_a6-c1_c4-d1_d4-e1	C(C)(=O)N[C@H]1[C@H](OC[C@@H]5[C@H](O)[C@@H]([C@H](C(O5)O)NC(=O)C)O[C@@H]4O[C@@H]([C@H](O)[C@@H]([C@H]4O)O)CO)O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O[C@@H]3[C@@H]([C@@H](O)[C@H](O)[C@H](O3)CO)NC(C)=O)[C@H](O)[C@H]2O)[C@@H]1O
WURCS=2.0/4,12,11/[u2122h][a2112h-1b_1-5][a2122h-1b_1-5_2*NCC/3=O][a1221m-1a_1-5]/1-2-3-2-4-4-3-4-2-3-2-4/a4-b1_b3-c1_b6-g1_c3-d1_c4-f1_d2-e1_g3-h1_g4-i1_i3-j1_j3-k1_k2-l1	C(C)(N[C@H]9[C@@H](O[C@@H]([C@@H](O[C@H]%12[C@H]([C@@H]([C@@H]([C@@H](O%12)C)O)O)O)[C@@H]9O[C@@H]%11O[C@H](CO)[C@H](O)[C@H](O)[C@H]%11O[C@@H]%10O[C@H]([C@@H](O)[C@H]([C@@H]%10O)O)C)CO)O[C@H]2[C@@H](O)[C@@H](CO[C@@H]3O[C@@H]([C@@H](O[C@@H]8O[C@H](CO)[C@H](O)[C@@H]([C@H]8O)O[C@H]5[C@@H]([C@@H](O[C@@H]7O[C@H](CO)[C@@H]([C@H](O)[C@H]7O[C@H]6[C@H]([C@H](O)[C@H](O)[C@@H](O6)C)O)O)[C@H](O)[C@@H](CO)O5)NC(=O)C)[C@H](O[C@@H]4O[C@@H](C)[C@@H](O)[C@H]([C@@H]4O)O)[C@H]3NC(=O)C)CO)O[C@H]([C@@H]2O)O[C@@H]1[C@@H](CO)OC(O)[C@H](O)[C@H]1O)=O
WURCS=2.0/6,10,9/[u2122h_2*NCC/3=O][a2122h-1b_1-5_2*NCC/3=O][a1122h-1b_1-5][a1122h-1a_1-5][a2112h-1b_1-5][a1221m-1a_1-5]/1-2-3-4-2-2-5-4-2-6/a4-b1_a6-j1_b4-c1_c3-d1_c4-f1_c6-h1_d2-e1_f4-g1_h2-i1	C(N[C@@H]%10[C@@H](O)[C@@H]([C@@H](CO)O[C@H]%10O[C@@H]9[C@H](OC([C@@H]([C@H]9O)NC(C)=O)O)CO[C@H]8[C@H]([C@H](O)[C@H](O)[C@H](C)O8)O)O[C@H]5[C@H]([C@@H](O[C@@H]7[C@H]([C@H]([C@H](O)[C@H](O7)CO)O)O[C@@H]6O[C@H](CO)[C@H]([C@@H]([C@H]6NC(C)=O)O)O)[C@@H]([C@H](O5)CO[C@H]3O[C@@H]([C@@H](O)[C@H](O)[C@@H]3O[C@H]4[C@@H]([C@H]([C@@H]([C@@H](CO)O4)O)O)NC(C)=O)CO)O[C@H]2[C@H](NC(C)=O)[C@H]([C@@H]([C@@H](CO)O2)O[C@@H]1O[C@H](CO)[C@H](O)[C@@H]([C@H]1O)O)O)O)(C)=O
WURCS=2.0/5,7,6/[u2122h_2*NCC/3=O][a2122h-1b_1-5_2*NCC/3=O][a1122h-1b_1-5][a1122h-1a_1-5][a2112h-1b_1-5]/1-2-3-4-4-2-5/a4-b1_b4-c1_c3-d1_c6-e1_e2-f1_f4-g1	C(N[C@@H]1[C@@H](O)[C@H](O[C@@H]7O[C@H](CO)[C@H](O)[C@H](O)[C@H]7O)[C@H](O[C@H]1O[C@H]6[C@@H](O)[C@@H]([C@@H](CO)O[C@@H]6OC[C@@H]5[C@H]([C@@H]([C@H](O)[C@@H](O5)O[C@H]4[C@H](O)[C@@H](NC(C)=O)[C@@H](O[C@@H]4CO)O[C@H]3[C@H](O)[C@@H](NC(C)=O)C(O)O[C@@H]3CO)O[C@H]2O[C@H](CO)[C@@H](O)[C@@H]([C@@H]2O)O)O)O)CO)(=O)C
WURCS=2.0/3,6,5/[u2122h][a2112h-1b_1-5][a2122h-1b_1-5_2*NCC/3=O]/1-2-3-2-3-2/a4-b1_b3-c1_c3-d1_d3-e1_e3-f1	C(N[C@@H]1[C@@H](O[C@H]4[C@@H]([C@@H](O[C@H]5[C@H](NC(=O)C)[C@@H](O[C@H]6[C@@H]([C@@H](O)[C@@H](O)[C@@H](CO)O6)O)[C@@H]([C@H](O5)CO)O)[C@@H](O)[C@@H](CO)O4)O)[C@H](O)[C@@H](CO)O[C@H]1O[C@H]3[C@H]([C@H](O[C@H]([C@@H]3O)O[C@@H]2[C@@H](CO)OC(O)[C@H](O)[C@H]2O)CO)O)(=O)C
WURCS=2.0/7,11,10/[u2122h_2*NCC/3=O][a2122h-1b_1-5_2*NCC/3=O][a1122h-1b_1-5][a212h-1b_1-5][a1122h-1a_1-5][a2112h-1b_1-5][a1221m-1a_1-5]/1-2-3-4-5-2-6-5-2-6-7/a4-b1_a6-k1_b4-c1_c2-d1_c3-e1_c6-h1_e2-f1_f4-g1_h2-i1_i4-j1	C(N[C@@H]2[C@H]([C@H](O[C@H]3[C@H](NC(=O)C)[C@H]([C@H](O[C@H]7[C@@H](O[C@H]%11[C@H](O)[C@H]([C@H](O)CO%11)O)[C@H]([C@H](O)[C@@H](CO[C@H]%10O[C@H](CO)[C@H]([C@@H]([C@@H]%10O[C@@H]8O[C@H](CO)[C@@H](O[C@H]9[C@@H]([C@H]([C@@H](O)[C@H](O9)CO)O)O)[C@@H]([C@H]8NC(C)=O)O)O)O)O7)O[C@@H]4[C@@H](O[C@H]5[C@@H]([C@@H](O)[C@H](O[C@H]6[C@@H]([C@H]([C@@H](O)[C@@H](CO)O6)O)O)[C@H](O5)CO)NC(C)=O)[C@@H](O)[C@@H]([C@H](O4)CO)O)[C@H](O3)CO)O)[C@H](OC2O)CO[C@H]1[C@@H](O)[C@H](O)[C@@H]([C@@H](O1)C)O)O)(=O)C
WURCS=2.0/2,5,4/[u2122h_2*NCC/3=O][a2122h-1b_1-5_2*NCC/3=O]/1-2-2-2-2/a6-b1_b6-c1_c6-d1_d6-e1	C(N[C@@H]5[C@H]([C@@H]([C@@H](CO)O[C@H]5OC[C@H]4O[C@H]([C@H](NC(C)=O)[C@@H](O)[C@@H]4O)OC[C@H]3O[C@H]([C@@H]([C@@H](O)[C@@H]3O)NC(C)=O)OC[C@@H]2[C@H]([C@H](O)[C@H]([C@@H](O2)OC[C@H]1OC([C@H](NC(=O)C)[C@H]([C@@H]1O)O)O)NC(C)=O)O)O)O)(C)=O
WURCS=2.0/3,3,2/[u2122h_2*NCC/3=O][a2112h-1b_1-5][Aad21122h-2a_2-6]/1-2-3/a3-b1_b3-c2	C(O)(=O)[C@@]3(O[C@@H]([C@H](O)[C@@H](CO)O)[C@@H]([C@H](C3)O)O)O[C@H]1[C@@H](O)[C@H](O[C@@H](O[C@H]2[C@H](O)[C@@H](CO)OC([C@@H]2NC(C)=O)O)[C@@H]1O)CO
WURCS=2.0/3,3,2/[u2122h_2*NCC/3=O][a2112h-1b_1-5][Aad21122h-2a_2-6]/1-2-3/a4-b1_b3-c2	C(O)(=O)[C@@]3(O[C@@H]([C@H](O)[C@@H](CO)O)[C@@H]([C@H](C3)O)O)O[C@H]2[C@@H](O)[C@H](O[C@H]([C@@H]2O)O[C@@H]1[C@@H](CO)OC(O)[C@@H]([C@H]1O)NC(=O)C)CO
WURCS=2.0/2,6,5/[u2112A][a2112A-1a_1-5]/1-2-2-2-2-2/a4-b1_b4-c1_c4-d1_d4-e1_e4-f1	C(O)([C@@H]6[C@@H]([C@@H]([C@H](C(O6)O)O)O)O[C@H]5O[C@H](C(O)=O)[C@@H]([C@@H]([C@H]5O)O)O[C@@H]4[C@@H]([C@H]([C@H]([C@H](O4)C(=O)O)O[C@@H]1[C@H](O)[C@H]([C@@H](O[C@@H]3[C@H](O)[C@@H](O)[C@H]([C@H](O3)C(=O)O)O[C@H]2O[C@H](C(=O)O)[C@H](O)[C@@H]([C@H]2O)O)[C@H](O1)C(O)=O)O)O)O)=O
